index,time_ns,value,count,values
691,2898070948171,34789.0,16,34789.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
692,2898071222838,34753.0,16,34753.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
693,2898071494838,34742.0,16,34742.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
694,2898071768171,34740.0,16,34740.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
695,2898272989603,34760.0,16,34760.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
696,2898273435603,34780.0,16,34780.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
697,2898273723603,34786.0,16,34786.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
698,2898274003603,34809.0,16,34809.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
699,2898274901604,34822.0,16,34822.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
700,2898489457042,34841.0,16,34841.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
701,2898489928376,34866.0,16,34866.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
702,2898490293042,34895.0,16,34895.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
703,2898490606376,34913.0,16,34913.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
704,2898491641710,34943.0,16,34943.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
705,2898677831801,34971.0,16,34971.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
706,2898678239134,34995.0,16,34995.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
707,2898678525134,35002.0,16,35002.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
708,2898678821134,34954.0,16,34954.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
709,2898679096468,34908.0,16,34908.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
710,2898679377135,34883.0,16,34883.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
711,2898880319899,34877.0,16,34877.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
712,2898880729233,34893.0,16,34893.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
713,2898881007233,34914.0,16,34914.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
